9	Ac
47	Ag
13	Al
95	Am
79	Au
56	Ba
107	Bh
83	Bi
97	Bk
20	Ca
48	Cd
58	Ce
98	Cf
96	Cm
27	Co
24	Cr
55	Cs
29	Cu
105	Db
110	Ds
66	Dy
68	Er
99	Es
63	Eu
26	Fe
100	Fm
87	Fr
31	Ga
64	Gd
72	Hf
80	Hg
67	Ho
108	Hs
49	In
77	Ir
19	K
57	La
3	Li
103	Lr
71	Lu
101	Md
12	Mg
25	Mn
42	Mo
109	Mt
11	Na
41	Nb
60	Nd
28	Ni
102	No
93	Np
76	Os
91	Pa
82	Pb
46	Pd
61	Pm
84	Po
59	Pr
78	Pt
94	Pu
88	Ra
37	Rb
75	Re
104	Rf
45	Rh
44	Ru
21	Sc
106	Sg
62	Sm
50	Sn
38	Sr
73	Ta
65	Tb
43	Tc
90	Th
22	Ti
81	Tl
69	Tm
92	U
23	V
74	W
39	Y
70	Yb
30	Zn
40	Zr
